Facture de Gateau|fournisser|Client|prix|date|lieu
Canva|attrCanva1|attrCanv2|attrCanva3
Pointage|cpt1|cpt2|cpt3
Facture de Gateau|Client|prix|date|lieu
Facture de Gateau|Client|prix|date|lieu
Facture de Gateau|Client|prix|date|lieu
Facture de Gateau|Client|prix|date|lieu
Facture de Gateau|Client|prix|date|lieu
Facture de Gateau|Client|prix|date|lieu
Facture de Gateau|Client|prix|date|lieu
Facture de Gateau|Client|prix|date|lieu
Facture de Gateau|Client|prix|date|lieu
Facture de Gateau|Client|prix|date|lieu
Facture de Gateau|Client|prix|date|lieu
Facture de Gateau|Client|prix|date|lieu
Facture de Gateau|Client|prix|date|lieu
Facture de Gateau|Client|prix|date|lieu
